;dtset;qtype;stype;quest_id;num_resp_ref;num_resp_est;num_aciertos;question;ref_ans
84;sciEntsBank;;;MX_11a;1;35;25;Jim used a solid and water to make Mixture one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), Mixture 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), Mixture 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and Mixture 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. What evidence does Jim have that the solid and water make a solution?;The mixtures are all clear.
85;sciEntsBank;;;MX_11c;1;35;15;Jim used a solid and water to make Mixtures one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. Is the concentration of Mixture 5 less than, greater than, or the same as the concentration of Mixture 4? Explain your answer.;The concentrations are the same because both mixtures are saturated.
86;sciEntsBank;;;MX_11e;1;35;4;Jim used a solid and water to make Mixtures one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. Describe how Jim could separate the dissolved solid from the water in Mixture one. What happens to the solid and to the water?;Set up evaporation dishes. The water will go into the air (evaporate) and the solid will be left in the dish (crystallize).
87;sciEntsBank;;;MX_11f;1;34;11;Jim used a solid and water to make Mixtures one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. If Jim made Mixture 2 with 2 spoons of solid in 100 milliliters of water, what would he observe? What evidence do you have to support this?;Jim would see a clear solution. 3 spoons of solid dissolves, so 2 spoons will dissolve.
88;sciEntsBank;;;MX_49;1;36;4;Beth made 2 solutions of different concentrations of water and citric acid. She put 50 milliliters of the first solution in cup X and 50 milliliters of the second solution in cup Y. When she put the cups on the balance, the balance looked as shown below. Which solution, X or Y, is more concentrated? Explain how you know which is more concentrated.;X. When equal amounts of 2 solutions are compared, the solution that is more concentrated will have the greater mass (weigh more). 50 milliliters of X has a greater mass than 50 milliliters of Y, so X must be more concentrated.
89;sciEntsBank;;;MX_53;1;34;10;Adam's friend gave him a cup filled with a water solution. Adam did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?;Crystals of different materials have different shapes. So the shape will help identify the material.
90;sciEntsBank;;;PS_2a;1;104;49;Why does a rubber band make a sound when you pluck it (pull and let go quickly)?;The rubber band vibrates.
91;sciEntsBank;;;PS_45b;1;107;3;Nathaniel and Sammy are trying to make up a code for sending messages to each other by dropping items in a drop chamber and listening to them. Sammy wants to design a code using blocks made of plastic, metal, and wood. Nathaniel thinks it would be a better idea to use wooden blocks of different sizes and shapes. Which student's method would make it easier to tell the difference between the sounds? Why?;Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.
92;sciEntsBank;;;PS_44;1;49;38;A harp has strings of different lengths. Describe how the sound of a short string being plucked (pulled and let go quickly) is different from the sound of a long string being plucked.;If the string is shorter, the pitch will be higher. If the string is longer, the pitch will be lower.
93;sciEntsBank;;;PS_12;1;36;7;Mary was trying to understand how tuning forks make sounds. She hit the tuning fork on the table and placed the tuning fork into a cup full of water while it was still ringing. The water splashed in all directions. How did seeing what happened help Mary understand how a tuning fork makes sounds?;The water splashed because the fork was vibrating. Vibrations make sounds.
94;sciEntsBank;;;PS_51a;1;36;19;Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.;When the string was tighter, the pitch was higher.
95;sciEntsBank;;;PS_51b;1;35;21;Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. Katie also discovered that when she pressed down on a string with her finger, making the string shorter, the sound again changed. Describe how the sound was different when the string was shortened.;When the string was shorter, the pitch was higher.
96;sciEntsBank;;;PS_15bp;1;35;17;Below are pictures of wind instruments. You blow air through them to produce sounds. Why does [the saxophone] make the lowest sounds?;The saxophone has the longest and fattest tube.
97;sciEntsBank;;;PS_26p;1;36;23;"Kate said: ""An object has to move to produce sound."" Do you agree with her? Why or why not?";Agree. Vibrations are movements. Vibrations produce sound.
98;sciEntsBank;;;PS_46b;1;35;27;Why was the siren's sound designed to have this property?;So that people notice the sound.
99;sciEntsBank;;;PS_4ap;1;36;23;Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla pulled the string tighter?;When the string is tighter, the pitch will be higher.
100;sciEntsBank;;;PS_4bp;1;36;22;Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?;When the string is longer, the pitch will be lower.
101;sciEntsBank;;;SE_10;1;36;19;Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?;Shadows change during the day because the Earth is turning. The Sun stays in one place.
102;sciEntsBank;;;SE_24a;1;36;3;The drawing above shows a plaza in the afternoon. Label the west side of the drawing with a W. Label the north side of the drawing with an N. How did you know which direction was west?;In the afternoon, shadows point east because the Sun is in the west. So the west side is opposite of the shadows.
103;sciEntsBank;;;SE_3c;1;36;13;Why does the tree shown in the picture have a shadow?;The tree blocks the light from the Sun.
104;sciEntsBank;;;SE_4a;1;36;14;What is a heat sink?;A heat sink is any material that absorbs (a lot of) heat.
105;sciEntsBank;;;SE_16b2;1;36;12;"Cory and Rachael set up 3 solar water heaters to see which would show the greatest water temperature change. The containers are shown below. Each is the same height (4 centimeters), and the same width (10 centimeters). Only the lengths are different; Container A is 10 centimeters, Container B is 30 centimeters, and Container C is 40 centimeters. They painted the plastic containers black, filled each with the same amount of water, and put a clear plastic lid on each one. Then they set them out in the sunshine. Here are the data that Cory and Rachael collected: After 10 minutes Container A was 3 degrees Celsius, Container B was 9 degrees Celsius, and Container C was 12 degrees Celsius. Use the graph paper on the next page to graph the temperature change for each container. If Cory and Rachael had a container that was the same height and width as the other containers, but 20 centimeters long, what do you think the temperature change would be after 10 minutes? (6 Celsius) How did you decide what the temperature change would be for the new container?";20 centimeters size is between 10 and 30 centimeters, so the temperature change must be less than the 30 centimeters container, but more than the 10 centimeters container. 6 degrees Celsius is halfway between.
106;sciEntsBank;;;SE_22a;1;36;23;Andi and Scott decided to investigate solar water heaters using collectors of different colors (but the same size) as one variable and covered versus uncovered as a second variable. Look at the graph of their data and answer the questions below. What does the graph tell you about the effect of using a cover?;Water heats up faster when covered.
107;sciEntsBank;;;SE_22b;1;35;29;Andi and Scott decided to investigate solar water heaters using collectors of different colors (but the same size) as one variable and covered versus uncovered as a second variable. Look at the graph of their data and answer the questions below. What does the graph tell you about the effect of using blue versus red collectors?;Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.
108;sciEntsBank;;;SE_22c;1;36;14;Andi and Scott decided to investigate solar water heaters using collectors of different colors (but the same size) as one variable and covered versus uncovered as a second variable. Look at the graph of their data and answer the questions below. Why would comparing only the red uncovered heater with the blue covered heater not provide useful information?;When 2 variables are changed, it is impossible to determine which variable is causing what effect.
109;sciEntsBank;;;SE_47b;1;36;12;"Sue bought a white wading pool for her grandchildren. She wanted to heat up the water as fast as possible. She thought that if she put plastic sheeting in the bottom of the pool it might heat up the water faster. She had a sheet of yellow plastic and a sheet of dark green plastic. What should Sue do to heat the water as fast as possible? A. Put the yellow sheeting on the bottom of the pool. (B. Put the dark green sheeting on the bottom of the pool.) C. Put no sheeting on the bottom of the pool; leave it white. Explain why you chose that answer.";Darker colors absorb more heat than lighter colors. The dark green sheeting is the darkest color available so she should use the green sheeting.
110;sciEntsBank;;;SE_51b;1;36;19;Look at the 2 solar water heaters shown here. The black triangular area is the solar collector in each container. If both heaters contain the same amount of water, would you expect the temperature change in heater X to be greater than, less than, or the same as the temperature change in heater Y after 30 minutes? (Same) Explain your answer.;The black areas in the 2 collectors (and the collectors themselves) are the same size. The amount of heat absorbed will be the same so the temperature change will also be the same.
111;sciEntsBank;;;SE_25a;1;36;4;The graph shows temperature data from 2 containers. One container had 100 milliliters of water and the other had 100 milliliters of dry soil. Each container was placed in the sun for 20 minutes and then in the shade for 20 minutes. Which container, A or B, had the dry soil? Explain how the graph helped you decide which container had the dry soil.;A. Dry soil heats more quickly and cools off more quickly than water. The graph shows A heats and cools more quickly than B, so A must be the dry soil.
112;sciEntsBank;;;SE_31b;1;36;27;Julie and David each built a solar water heater. Both solar water heaters were 10 centimeters x 10 centimeters x 30 centimeters. Both water heaters were painted black on the inside bottom and filled to the top with 3 liters of room temperature water. Both water heaters were set in the sun. They checked the temperatures every 5 minutes and made the table below. Which box did Julie build, A or B? What evidence supports your answer?;A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.
113;sciEntsBank;;;SE_45;1;36;4;Betty was puzzled. In the morning the shadow of the bus sign is in the street. In the afternoon the shadow of the bus sign points the opposite direction. Explain to Betty why this happens.;In the morning the Sun is in the east so shadows point west. In the afternoon the Sun is in the west so shadows point east.
114;sciEntsBank;;;SE_46;1;36;14;Amber predicted that a black covered box would heat up faster than a white covered box. She took 2 identical shoe boxes and wrapped one with white paper and the other with black paper. She punched a hole in each box, stuck a thermometer into each hole, and put both boxes in the sun. Every 5 minutes, Amber recorded the temperature in each box. Will the data support Amber's prediction? Explain your answer.;Yes. Black absorbs more heat (energy) than white. White reflects more heat (energy) than black. Therefore the black covered box will heat up faster than the white covered box.
115;sciEntsBank;;;SE_48;1;36;13;Maggie wanted to find out if surface area affected temperature change. She had 3 white cake pans. She filled each with 300 milliliters of water. She put one small black plastic disk in pan A, 2 in pan B, and 3 in pan C. Then she put all 3 pans in the sun. When Maggie measured the water temperature in each pan after 15 minutes, which pan do you think held the hottest water? Explain your answer.;C. Black absorbs more heat (energy) than white. Pan C has the most dark surface area so C would heat up the fastest and have the highest temperature.
116;sciEntsBank;;;ST_54b2;1;34;3;The inside of a pea seed is shown below. Describe the function of each of the parts: cotyledon.;The cotyledon provides food for the plant to begin growing.
117;sciEntsBank;;;ST_54b3;1;35;19;The inside of a pea seed is shown below. Describe the function of each of the parts: embryo.;The embryo contains the tiny leaves and root of the plant.
118;sciEntsBank;;;ST_58;1;34;28;"What is your ""rule"" for deciding if the part of a plant you are observing is a fruit?";If a part of the plant contains seeds, that part is the fruit.
119;sciEntsBank;;;ST_25b1;1;36;3;Look at the picture of the bean seedling shortly after germination. Describe the function of each of the parts: seed coat.;The seed coat protects the seed until the plant begins to grow.
120;sciEntsBank;;;ST_25b2;1;36;12;Look at the picture of the bean seedling shortly after germination. Describe the function of each of the parts: cotyledon.;The cotyledon provides food for the plant until the plant can make food for itself.
121;sciEntsBank;;;ST_52a;1;36;13;When a seed germinates, why does the root grow first?;The root grows first so the root can take up water for the plant.
122;sciEntsBank;;;ST_31b;1;36;9;One function of the bess beetle's elytra (the hard, black wing set) is protection. What is another function of the elytra?;The elytra are used to make sounds.
123;sciEntsBank;;;ST_59;1;36;20;Elena has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?;Elena should include a separate shelter for each lizard.
124;sciEntsBank;;;VB_1;1;36;19;How do you define a controlled experiment?;An experiment is controlled if only one variable is changed at a time.
125;sciEntsBank;;;VB_12d;1;37;25;Describe the relationship between the length of the string and the number of swings a swinger makes in 15 seconds.;The shorter the string is, the more the string swings in 15 seconds.  The longer the string is, the less the string swings in 15 seconds.
126;sciEntsBank;;;VB_40a;1;35;4;Jack made a lifeboat out of a large paper cup. He decided to measure how far the boat sank when different numbers of marbles were added. His data are shown in the table. Identify the standard for Jack's experiment.;The boat with 0 marbles is the standard in this experiment.
127;sciEntsBank;;;VB_5a;1;36;20;Explain in one sentence what each graph tells you. Graph A) number of tree rings versus time.;As time increases, the number of tree rings also increases.
128;sciEntsBank;;;VB_5b;1;36;14;Explain in one sentence what each graph tells you. Graph B) speed of light versus time.;As time increases, the speed of light stays the same (remains constant).
129;sciEntsBank;;;VB_22c;1;36;6;Describe what the graph tells you about the relationship between the number of scoops of fertilizer and the mass of beans harvested?;When less than 3 scoops of fertilizer are used, the more fertilizer used, the greater the mass of beans harvested. When more than 3 scoops of fertilizer are used, the more fertilizer used, the less the mass of beans harvested.
130;sciEntsBank;;;VB_42;1;36;17;Don wanted to find out if a battery powered toy truck would always travel the same distance in 10 seconds no matter how heavy a load the truck carried. He placed one or more blocks (the load) in the back of the truck and recorded his results. (Each block had the same mass.) The following graph displays his results. What is the relationship between the number of blocks and the distance traveled by the truck in 10 seconds?;The more blocks the truck carries, the less distance the truck travels in 10 seconds.
131;sciEntsBank;;;VB_15a;1;36;23;3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?;The launch position (line on the playground) is the variable that is controlled.
132;sciEntsBank;;;VB_15b;1;36;18;3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. Describe 2 variables that are not controlled in the contest.;Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.
133;sciEntsBank;;;VB_15c;1;36;10;3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. Describe what the girls need to do to make the contest a controlled experiment (fair test).;All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.
134;sciEntsBank;;;VB_29;1;36;8;When conducting a controlled experiment, why do you use a standard?;A standard is used for comparison to determine how changing one variable changes the results.
135;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_C_VOLTAGE_EXPLAIN_WHY1;5;103;32;Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.;Terminal 1 and the positive terminal are separated by the gap
136;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_C_VOLTAGE_EXPLAIN_WHY2;5;54;29;Explain why you got a voltage reading of 1.5 for terminal 2 and the positive terminal.;Terminal 2 and the positive terminal are separated by the gap
137;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_C_VOLTAGE_EXPLAIN_WHY6;7;70;39;Explain why you got a voltage reading of 0 for terminal 6 and the positive terminal.;Terminal 6 and the positive terminal are connected
138;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_ONLY_EXPLAIN_WHY2;6;86;23;Explain why you got a voltage reading of 0 for terminal 1 and terminal 2.;Terminals 1 and 2 are connected
139;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_ONLY_EXPLAIN_WHY4;5;44;23;Explain why you got a voltage reading of 0 for terminal 1 and terminal 4.;Terminals 1 and 4 are connected
140;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_ONLY_EXPLAIN_WHY6;5;63;29;Explain why you got a voltage reading of 1.5 for terminal 1 and terminal 6.;Terminals 1 and 6 are separated by the gap
141;beetle;Q_EXPLAIN_GENERIC;QUESTION;BURNED_BULB_LOCATE_EXPLAIN_Q;14;127;35;Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.;Measuring voltage indicates the place where the electrical state changes due to a damaged bulb.
142;beetle;Q_EXPLAIN_SPECIFIC;QUESTION;OTHER_TERMINAL_STATE_EXPLAIN_Q;4;70;34;Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?;Terminals 4, 5 and 6 are not connected to the negative battery terminal
143;beetle;Q_EXPLAIN_SPECIFIC;QUESTION;TERMINAL_STATE_EXPLAIN_Q;4;100;15;Why do you think those terminals and the negative battery terminal are in the same state?;Terminals 1, 2 and 3 are connected to the negative battery terminal
144;beetle;Q_EXPLAIN_GENERIC;QUESTION;VOLTAGE_AND_GAP_DISCUSS_Q;4;89;35;As you move the multimeter leads from one bulb terminal to the next, what does it mean when the voltage reading jumps from 0 to 1.5?;the bulb is damaged
145;beetle;Q_EXPLAIN_GENERIC;QUESTION;VOLTAGE_DEFINE_Q;1;115;19;What is voltage?;Voltage is the difference in electrical states between two terminals
146;beetle;Q_EXPLAIN_GENERIC;QUESTION;VOLTAGE_DIFF_DISCUSS_1_Q;4;96;20;What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?;the terminals are connected
147;beetle;Q_EXPLAIN_GENERIC;QUESTION;VOLTAGE_DIFF_DISCUSS_2_Q;5;78;17;What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?;the terminals are not connected
148;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;VOLTAGE_GAP_EXPLAIN_WHY1;5;128;18;Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.;Terminal 1 and the positive terminal are separated by the gap
149;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;VOLTAGE_GAP_EXPLAIN_WHY3;5;41;27;Explain why you got a voltage reading of 1.5 for terminal 3 and the positive terminal.;Terminal 3 and the positive terminal are separated by the gap
150;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;VOLTAGE_GAP_EXPLAIN_WHY4;6;83;46;Explain why you got a voltage reading of 0 for terminal 4 and the positive terminal.;Terminal 4 and the positive terminal are connected
151;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;VOLTAGE_GAP_EXPLAIN_WHY5;6;35;24;Explain why you got a voltage reading of 0 for terminal 5 and the positive terminal.;Terminal 5 and the positive terminal are connected
152;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;VOLTAGE_GAP_EXPLAIN_WHY6;6;32;22;Explain why you got a voltage reading of 0 for terminal 6 and the positive terminal.;Terminal 6 and the positive terminal are connected
153;beetle;Q_EXPLAIN_GENERIC;QUESTION;VOLTAGE_INCOMPLETE_CIRCUIT_2_Q;1;122;5;Why?;A battery uses a chemical reaction to maintain different electrical states at the terminals
154;beetle;Q_EXPLAIN_SPECIFIC;PREDICT;BURNED_BULB_PARALLEL_EXPLAIN_Q1;3;76;46;Explain your reasoning.;bulbs B and C are still in closed paths with the battery
155;beetle;Q_EXPLAIN_SPECIFIC;PREDICT;BURNED_BULB_PARALLEL_EXPLAIN_Q2;4;77;46;Explain your reasoning.;Bulbs A and C are still in closed paths with the battery
156;beetle;Q_EXPLAIN_SPECIFIC;PREDICT;BURNED_BULB_PARALLEL_EXPLAIN_Q3;4;69;43;Explain your reasoning.;bulbs A and B are still in closed paths with the battery
157;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BURNED_BULB_PARALLEL_WHY_Q;4;89;59;Why didn^t bulbs A and C go out after bulb B burned out?;Bulbs A and C are still contained in closed paths with the battery
158;beetle;Q_EXPLAIN_SPECIFIC;QUESTION;GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2;4;56;40;Explain your reasoning.;A and C are in different paths with the battery
159;beetle;Q_EXPLAIN_SPECIFIC;QUESTION;GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q3;2;60;53;Explain your reasoning.;B and C are in the same path with the battery
160;beetle;Q_EXPLAIN_SPECIFIC;QUESTION;GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2;4;80;59;Explain your reasoning.;A and C are in different paths with the battery
161;beetle;Q_EXPLAIN_SPECIFIC;PREDICT;HYBRID_BURNED_OUT_EXPLAIN_Q1;3;90;30;Explain your reasoning.;If bulb A burns out, B and C are no longer in a closed path with the battery
162;beetle;Q_EXPLAIN_SPECIFIC;PREDICT;HYBRID_BURNED_OUT_EXPLAIN_Q3;2;74;42;Explain your reasoning.;If C burns out, then A and B are still in a closed path with the battery.
163;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;HYBRID_BURNED_OUT_WHY_Q2;5;84;54;Why do both bulbs A and B stay on when bulb C is burned out?;If C burns out then A and B are still in a closed path with the battery
164;beetle;Q_EXPLAIN_GENERIC;EVALUATE;HYBRID_BURNED_OUT_WHY_Q3;3;89;49;Under what circumstances will a damaged/ burned out bulb affect another bulb?;If they are in the same path the burned out bulb affects the other bulb.
165;beetle;Q_EXPLAIN_SPECIFIC;QUESTION;OPT1_EXPLAIN_Q2;5;120;49;Why not?;there is still a closed path containing Switch Z, Switch X, Bulbs A and C and the battery
166;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;OPT2_EXPLAIN_Q;3;117;34;Describe the paths in this diagram and explain how those paths account for the results.;Bulb A is in a path which does not contain B and C, so bulbs B and C don't affect it. Bulbs B and C are in the same path. They affect each other, but Bulb A doesn't affect them.
167;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;PARALLEL_SWITCH_EXPLAIN_Q1;4;114;36;Why was bulb A on when switch Y was open and switch Z was closed?;Bulb A is still contained in a closed path with the battery.
168;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;PARALLEL_SWITCH_EXPLAIN_Q2;9;88;45;Why was bulb C off when switch Z was open?;Bulb C was no longer in a closed path with the battery
169;beetle;Q_EXPLAIN_GENERIC;EVALUATE;PARALLEL_SWITCH_EXPLAIN_Q3;2;114;20;What role does the path play in determining whether or not a switch affects a bulb?;If a bulb and a switch are in the same path the switch affects the bulb
170;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;SWITCH_TABLE_EXPLAIN_Q1;4;93;35;When switch X was closed and switch Y was open, why was bulb A on?;Bulb A was still contained in the same closed path with the battery.
171;beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;SWITCH_TABLE_EXPLAIN_Q2;3;60;46;When switch X was open and switch Y was closed, why were bulbs B and C on?;Bulb B and Bulb C were still contained in the same closed path with the battery.
172;beetle;Q_EXPLAIN_GENERIC;EVALUATE;SWITCH_TABLE_EXPLAIN_Q3;1;88;43;Under what circumstances will a switch affect a bulb?;When the switch and the bulb are contained in the same path
173;beetle;Q_EXPLAIN_GENERIC;QUESTION;CONDITIONS_FOR_BULB_TO_LIGHT;5;114;23;What are the conditions that are required to make a bulb light up?;there is a closed path containing both the bulb and a battery
174;beetle;Q_EXPLAIN_SPECIFIC;PREDICT;DAMAGED_BUILD_EXPLAIN_Q;6;79;47;Explain your reasoning.;bulb B creates a gap
175;beetle;Q_EXPLAIN_GENERIC;QUESTION;DAMAGED_BULB_EXPLAIN_2_Q;5;78;52;Why does a damaged bulb impact a circuit?;a damaged bulb creates a gap
176;beetle;Q_EXPLAIN_SPECIFIC;QUESTION;GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q;2;89;46;Explain your reasoning.;A and C are in the same closed path
177;beetle;Q_EXPLAIN_SPECIFIC;QUESTION;SHORT_CIRCUIT_EXPLAIN_Q_2;3;102;29;Explain why circuit 2 is not a short circuit.;The battery in 2 is not in a closed path
178;beetle;Q_EXPLAIN_SPECIFIC;QUESTION;SHORT_CIRCUIT_EXPLAIN_Q_4;4;63;41;Explain why circuit 4 is not a short circuit.;Circuit 4 has no closed paths
179;beetle;Q_EXPLAIN_SPECIFIC;QUESTION;SHORT_CIRCUIT_EXPLAIN_Q_5;5;84;29;Explain why circuit 5 is a short circuit.;the battery is contained in a path in which there is no bulb
180;beetle;Q_EXPLAIN_SPECIFIC;QUESTION;SHORT_CIRCUIT_X_Q;2;60;37;What do you think the red X means?;the battery is damaged
181;beetle;Q_EXPLAIN_GENERIC;QUESTION;SWITCH_OPEN_EXPLAIN_Q;6;98;40;Why does an open switch impact a circuit?;the open switch creates a gap
